open,high,low,close,volume,datetime
32.48,32.52,32.44,32.44,8000,2020-04-24 11:00:00
32.43,32.47,32.43,32.46,5690,2020-04-24 11:01:00
32.44,32.44,32.41,32.41,17650,2020-04-24 11:02:00
32.45,32.45,32.45,32.45,200,2020-04-24 11:03:00
32.44,32.45,32.44,32.45,650,2020-04-24 11:04:00
32.46,32.52,32.46,32.5,7662,2020-04-24 11:05:00
32.5,32.5,32.5,32.5,500,2020-04-24 11:06:00
32.5,32.5,32.47,32.47,1500,2020-04-24 11:07:00
32.42,32.42,32.42,32.42,1000,2020-04-24 11:08:00
32.41,32.41,32.4,32.4,3096,2020-04-24 11:09:00
32.4,32.4,32.38,32.38,715,2020-04-24 11:10:00
32.41,32.42,32.41,32.42,700,2020-04-24 11:11:00
32.45,32.46,32.4,32.4,1785,2020-04-24 11:13:00
32.42,32.43,32.42,32.43,1950,2020-04-24 11:14:00
32.44,32.45,32.44,32.45,1199,2020-04-24 11:15:00
32.42,32.42,32.41,32.41,6200,2020-04-24 11:16:00
32.4,32.4,32.39,32.39,300,2020-04-24 11:17:00
32.37,32.37,32.37,32.37,200,2020-04-24 11:18:00
32.37,32.39,32.34,32.34,7000,2020-04-24 11:19:00
32.37,32.37,32.37,32.37,6890,2020-04-24 11:20:00
32.35,32.37,32.35,32.37,800,2020-04-24 11:21:00
32.35,32.35,32.35,32.35,100,2020-04-24 11:23:00
32.36,32.37,32.36,32.37,2300,2020-04-24 11:24:00
32.41,32.41,32.41,32.41,1500,2020-04-24 11:25:00
32.42,32.43,32.42,32.43,3000,2020-04-24 11:26:00
32.41,32.41,32.41,32.41,1000,2020-04-24 11:27:00
32.44,32.44,32.44,32.44,100,2020-04-24 11:28:00
32.44,32.46,32.44,32.46,3700,2020-04-24 11:29:00
32.39,32.39,32.39,32.39,500,2020-04-24 11:30:00
32.39,32.39,32.36,32.36,12940,2020-04-24 11:31:00
32.36,32.36,32.36,32.36,2500,2020-04-24 11:33:00
32.35,32.35,32.35,32.35,500,2020-04-24 11:34:00
32.31,32.31,32.31,32.31,950,2020-04-24 11:35:00
32.31,32.32,32.29,32.31,5600,2020-04-24 11:36:00
32.31,32.31,32.3,32.3,2100,2020-04-24 11:37:00
32.33,32.33,32.33,32.33,9000,2020-04-24 11:38:00
32.34,32.34,32.34,32.34,500,2020-04-24 11:39:00
32.34,32.35,32.34,32.34,600,2020-04-24 11:40:00
32.34,32.34,32.28,32.28,1925,2020-04-24 11:42:00
32.3,32.3,32.3,32.3,2100,2020-04-24 11:43:00
32.28,32.28,32.28,32.28,500,2020-04-24 11:45:00
32.25,32.25,32.25,32.25,150,2020-04-24 11:46:00
32.25,32.25,32.25,32.25,150,2020-04-24 11:47:00
32.25,32.25,32.22,32.22,499,2020-04-24 11:48:00
32.21,32.21,32.2,32.2,1600,2020-04-24 11:49:00
32.2,32.2,32.17,32.17,1200,2020-04-24 11:50:00
32.24,32.24,32.23,32.23,837,2020-04-24 11:52:00
32.23,32.23,32.21,32.21,2600,2020-04-24 11:53:00
32.21,32.24,32.19,32.24,3005,2020-04-24 11:54:00
32.22,32.22,32.19,32.19,417,2020-04-24 11:56:00
32.19,32.19,32.19,32.19,100,2020-04-24 11:57:00
32.18,32.18,32.17,32.17,700,2020-04-24 11:58:00
32.19,32.19,32.18,32.18,950,2020-04-24 11:59:00
32.2,32.21,32.19,32.19,700,2020-04-24 12:00:00
32.26,32.26,32.26,32.26,240,2020-04-24 12:01:00
32.26,32.26,32.18,32.2,12486,2020-04-24 12:02:00
32.17,32.17,32.11,32.13,4700,2020-04-24 12:03:00
32.12,32.14,32.12,32.14,31212,2020-04-24 12:04:00
32.13,32.16,32.13,32.16,7400,2020-04-24 12:05:00
32.19,32.19,32.14,32.14,600,2020-04-24 12:07:00
32.19,32.19,32.17,32.17,3300,2020-04-24 12:08:00
32.151,32.23,32.151,32.2,2200,2020-04-24 12:09:00
32.15,32.15,32.14,32.14,200,2020-04-24 12:10:00
32.16,32.16,32.15,32.15,900,2020-04-24 12:11:00
32.15,32.15,32.15,32.15,8654,2020-04-24 12:12:00
32.15,32.15,32.15,32.15,185,2020-04-24 12:13:00
32.15,32.15,32.13,32.13,3321,2020-04-24 12:14:00
32.18,32.18,32.18,32.18,100,2020-04-24 12:15:00
32.1,32.12,32.1,32.11,4935,2020-04-24 12:16:00
32.16,32.19,32.16,32.19,7700,2020-04-24 12:17:00
32.19,32.2,32.19,32.2,595,2020-04-24 12:18:00
32.19,32.2,32.19,32.2,200,2020-04-24 12:19:00
32.24,32.26,32.2399,32.24,1500,2020-04-24 12:20:00
32.24,32.26,32.23,32.2599,12756,2020-04-24 12:21:00
32.25,32.28,32.25,32.28,8300,2020-04-24 12:22:00
32.29,32.29,32.29,32.29,1100,2020-04-24 12:23:00
32.28,32.28,32.28,32.28,1600,2020-04-24 12:24:00
32.3,32.3,32.28,32.3,6810,2020-04-24 12:25:00
32.29,32.31,32.29,32.31,11115,2020-04-24 12:26:00
32.31,32.31,32.31,32.31,500,2020-04-24 12:27:00
32.3,32.3,32.27,32.27,3787,2020-04-24 12:28:00
32.29,32.29,32.25,32.25,7494,2020-04-24 12:29:00
32.27,32.4,32.27,32.37,12849,2020-04-24 12:30:00
32.4,32.43,32.38,32.38,12870,2020-04-24 12:31:00
32.3799,32.3799,32.3,32.33,1804,2020-04-24 12:32:00
32.34,32.36,32.34,32.36,3050,2020-04-24 12:33:00
32.38,32.39,32.38,32.39,714,2020-04-24 12:34:00
32.39,32.39,32.33,32.34,2500,2020-04-24 12:35:00
32.33,32.33,32.3296,32.3296,723,2020-04-24 12:36:00
32.38,32.41,32.38,32.41,10900,2020-04-24 12:37:00
32.41,32.47,32.41,32.47,4100,2020-04-24 12:38:00
32.47,32.47,32.46,32.46,700,2020-04-24 12:39:00
32.47,32.48,32.46,32.47,2291,2020-04-24 12:40:00
32.49,32.5,32.46,32.5,3630,2020-04-24 12:41:00
32.5,32.5,32.49,32.5,20897,2020-04-24 12:42:00
32.4901,32.54,32.4901,32.54,2390,2020-04-24 12:43:00
32.57,32.58,32.54,32.54,6100,2020-04-24 12:44:00
